,Annual average(鈩?,Annual mean of daily maximum(鈩?,Annual mean of daily minimum(鈩?,Sampling month average(鈩?,Sampling moment(鈩?,Annual(mm),Sampling month(mm),GDP per capita (dollars),City population,Actual Inf rate (m3/d),HRT (hr) Plant,HRT (hr) Aeration tank,SRT (d),BOD:(mg/l):Inf,BOD:inf/(1+recycle ratio),BOD:Aeration tank inf,BOD-Removal rate,COD:(mg/l):Inf,COD:Inf/(1+recycle ratio),COD:Aeration tank inf,COD-Removal rate,NH4-N:(mg/l):Inf,NH4-N:Aeration tank inf,NH4-Removal rate,TN:(mg/l):Inf,TN:Aeration tank inf,TN-Removal rate,TP:(mg/l):Inf,TP:Aeration tank inf,TP-Removal rate,Percentage,MLSS (mg/l),DO (mg/l),pH,Mixed liquid temperature(鈩?,Conductivity (miu S/cm),SVI (ml/g),Gammaproteobacteria,Bacteroidia,Unclassified,Alphaproteobacteria,Others,Clostridia,Anaerolineae,Parcubacteria,Polyangia,Planctomycetes,Verrucomicrobiae,Bdellovibrionia,Chlamydiae,Oligoflexia,Phycisphaerae,Gracilibacteria,Actinobacteria,Bacilli,Microgenomatia,Babeliae,ABY1,Saccharimonadia,Acidimicrobiia,Omnitrophia,Cyanobacteriia,Acidobacteriae,Myxococcia,Nanoarchaeia,Thermoleophilia,Blastocatellia,OM190,Spirochaetia,Nitrospiria,Chloroflexia,Kiritimatiellae,Ignavibacteria,Desulfuromonadia,Campylobacteria,Gemmatimonadetes,Vicinamibacteria,Fimbriimonadia,Vampirivibrionia,Desulfovibrionia,Negativicutes,Holophagae,Leptospirae,metagenome,Kapabacteria,Lineage IIb,Desulfobacteria,Hydrogenedentia
28,21,28,5,17,10.65714,697,48,16696,2991600,40000,19.23245,9.718041,11,202.1696,116.8853,222.9448,6.525154,389,182.629108,286,0.902313625,22,28,0.818181818,39,40.2121,10.25516,5,5.6,0.96,0,3464.726266,0.97,6.98,22,1285.803279,197.4546,32.9765625,38.11328125,1.3828125,2.13671875,1.828125,0.98828125,2.3203125,1.18359375,1.44140625,1.08203125,1.33984375,1.2421875,0.07421875,0.1640625,0.1875,0.9765625,0.29296875,0.25390625,0.09765625,0.09375,0.06640625,0.49609375,0.1796875,0.0078125,0.00390625,0.33984375,0.16796875,0.01171875,0.02734375,0.78515625,0.15234375,0.14453125,2.49609375,0.1015625,0.03125,3.60546875,0.19140625,0.44140625,0.0703125,0.08203125,0.19140625,0.24609375,0.046875,0.30859375,0.2109375,0.328125,0.54296875,0.3671875,0.046875,0.03515625,0.09765625
29,21,28,5,17,10.65714,697,48,16696,2991600,40000,19.23245,9.718041,11,202.1696,116.8853,222.9448,6.525154,389,182.629108,286,0.902313625,22,28,0.818181818,39,40.2121,10.25516,5,5.6,0.96,0,3464.726266,1,6.98,22,1285.803279,197.4546,30.64453125,40.08984375,1.37890625,2.3515625,1.7265625,0.8671875,2.15234375,1.0625,1.6328125,1.1171875,1.2890625,1.09375,0.0859375,0.234375,0.23046875,1.12890625,0.25390625,0.2265625,0.125,0.125,0.10546875,0.53515625,0.1875,0.015625,0.015625,0.29296875,0.1640625,0.01953125,0.03515625,0.86328125,0.16015625,0.17578125,2.3984375,0.078125,0.04296875,3.7734375,0.15234375,0.2421875,0.08203125,0.09375,0.26171875,0.34375,0.08984375,0.328125,0.234375,0.25390625,0.57421875,0.46875,0.07421875,0.04296875,0.078125
30,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,0.8,7.2,22,1285.803279,197.4546,33.390625,17.32421875,4.1328125,5.86328125,3.53515625,1.33984375,2.80078125,1.0625,7.5390625,2.62890625,1.4609375,0.48046875,0.578125,0.25390625,0.4609375,0.35546875,0.83984375,0.48828125,0.25,0.5390625,0.09375,0.26171875,0.21484375,0.046875,0.01953125,0.44140625,0.875,0.06640625,0.12109375,2.44140625,0.70703125,0.07421875,3.55078125,0.0234375,0.05859375,1.6640625,0.0546875,0.01953125,0.0625,1.0078125,0.14453125,0.0625,0.02734375,0.1875,0.828125,0.33984375,0.8125,0.20703125,0.15625,0,0.10546875
31,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,0.8,7.2,22,1285.803279,197.4546,31.58984375,18.046875,4.765625,4.8984375,3.3046875,1.3984375,2.9453125,1.4296875,7.4453125,2.5859375,1.4375,0.66015625,0.60546875,0.30859375,0.36328125,0.35546875,0.73046875,0.3046875,0.27734375,0.52734375,0.12109375,0.328125,0.16796875,0.078125,0.01953125,0.44921875,0.77734375,0.07421875,0.03515625,3.078125,0.67578125,0.0703125,4.38671875,0.0078125,0.046875,1.9140625,0.04296875,0.015625,0.0390625,0.8671875,0.1640625,0.046875,0.03515625,0.1640625,0.80859375,0.2734375,0.83984375,0.23046875,0.16015625,0.0078125,0.09375
32,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,0.97,7.2,22,1285.803279,197.4546,32.66015625,17.6015625,4.8828125,4.734375,3.5234375,1.203125,3.08984375,1.375,6.67578125,2.79296875,1.44140625,0.625,0.6796875,0.23828125,0.4609375,0.41796875,0.8515625,0.19921875,0.28125,0.4609375,0.14453125,0.34765625,0.17578125,0.02734375,0.01171875,0.3828125,0.73828125,0.0546875,0.01171875,3.03515625,0.51171875,0.0546875,4.6640625,0.01171875,0.05859375,1.76953125,0.0703125,0.02734375,0.05078125,0.96875,0.1640625,0.04296875,0.0390625,0.17578125,0.74609375,0.25,0.7734375,0.21484375,0.1484375,0.00390625,0.12890625
33,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,0.97,7.2,22,1285.803279,197.4546,27.3671875,33.52734375,1.5,4.1171875,2.76953125,1.11328125,2.859375,1.33984375,7.96484375,2.0234375,1.05078125,0.73828125,0.91015625,0.2578125,0.2109375,0.1328125,0.58203125,0.2578125,0.1953125,0.65234375,0.140625,0.61328125,0.14453125,0.05859375,0.00390625,0.3984375,0.6875,0.15625,0.1015625,0.75390625,0.25,0.046875,2.45703125,0.015625,0.046875,1.015625,0.0546875,0.0859375,0.0859375,0.515625,0.06640625,0.0859375,0.046875,0.20703125,0.7265625,0.5859375,0.546875,0.33984375,0.1171875,0.00390625,0.0703125
34,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,1.2,7.2,22,1285.803279,197.4546,27.37109375,34.65234375,1.421875,4.1328125,2.6875,1.05859375,2.51171875,1.30078125,8.05859375,1.78125,1.03125,0.81640625,0.70703125,0.203125,0.27734375,0.18359375,0.5859375,0.21875,0.2421875,0.70703125,0.1171875,0.5625,0.140625,0.046875,0.01171875,0.3046875,0.70703125,0.16015625,0.05859375,0.9375,0.21875,0.04296875,2.20703125,0.01953125,0.02734375,0.94921875,0.09765625,0.078125,0.05859375,0.5,0.078125,0.11328125,0.05078125,0.171875,0.76953125,0.52734375,0.62109375,0.296875,0.12890625,0,0.046875
35,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,1.2,7.2,22,1285.803279,197.4546,26.96484375,38.16796875,1.40234375,4.18359375,2.85546875,0.91015625,2.49609375,1.18359375,6.1484375,1.31640625,0.85546875,0.64453125,0.5703125,0.15625,0.2890625,0.17578125,0.625,0.1953125,0.2734375,0.703125,0.12109375,0.625,0.15234375,0.0703125,0.01171875,0.234375,0.6171875,0.125,0.0859375,0.94921875,0.27734375,0.04296875,2.01953125,0.0078125,0.05859375,1.13671875,0.0546875,0.03515625,0.08984375,0.7109375,0.05078125,0.09375,0.0078125,0.1015625,0.8359375,0.4296875,0.56640625,0.19921875,0.1328125,0,0.0390625
36,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,3794,4.6,6.66,25.8,511,197.4546,26.01171875,30.45703125,1.37109375,5.9375,2.1796875,1.1171875,4.703125,1.4375,8.50390625,1.3046875,0.58203125,1.04296875,0.26171875,0.33203125,0.30859375,0.26953125,3.14453125,0.26171875,0.078125,0.0859375,0.06640625,0.55859375,1.92578125,0.01953125,0.0078125,0.20703125,0.578125,0.015625,0.37109375,0.625,0.28125,0.046875,0.62890625,0.07421875,0.05078125,0.8984375,1.0078125,0.14453125,0.703125,0.453125,0.1640625,0.00390625,0.03125,0.04296875,0.05859375,0.30078125,0.2734375,0.84375,0.015625,0.0546875,0.15625
37,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,3794,4.4,6.66,25.9,556,197.4546,26.34375,29.61328125,1.6015625,5.49609375,1.921875,1.48828125,5.3671875,1.515625,9.03125,1.30859375,0.82421875,1.24609375,0.30859375,0.38671875,0.30859375,0.38671875,2.5625,0.30859375,0.08984375,0.10546875,0.1171875,0.78515625,1.55078125,0.02734375,0.0234375,0.23828125,0.6015625,0.01171875,0.234375,0.4609375,0.24609375,0.03515625,0.6796875,0.08203125,0.0703125,0.61328125,1.08984375,0.0859375,0.546875,0.29296875,0.1796875,0.02734375,0.0390625,0.0703125,0.0390625,0.390625,0.25,0.7734375,0.01171875,0.06640625,0.14453125
38,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,3794,1.35,6.7,26.5,520,197.4546,23.60546875,30.8046875,1.6875,6.07421875,2.26171875,1.171875,4.73046875,1.546875,8.95703125,1.484375,0.84375,1.2265625,0.27734375,0.421875,0.3359375,0.421875,3.06640625,0.3125,0.08984375,0.140625,0.08984375,0.7578125,1.86328125,0.0234375,0.00390625,0.1796875,0.7109375,0.0234375,0.28125,0.58203125,0.3125,0.0234375,0.45703125,0.06640625,0.046875,0.52734375,1.10546875,0.078125,0.8359375,0.37890625,0.14453125,0.03125,0.0546875,0.07421875,0.02734375,0.3125,0.22265625,1.0625,0.015625,0.0546875,0.19140625
39,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,4300,2.1,6.46,26,815,197.4546,30.390625,25.29296875,1.62109375,6.41015625,3.3046875,1.37109375,5.97265625,0.80859375,6.21875,1.42578125,1.01171875,1.15625,0.19921875,0.60546875,0.45703125,0.390625,2.19921875,0.30859375,0.0703125,0.23046875,0.078125,0.515625,1.84375,0.00390625,0.00390625,0.31640625,0.68359375,0.0078125,0.53125,1.03125,0.33984375,0.015625,0.59375,0.14453125,0.10546875,0.58984375,0.4765625,0.11328125,0.6640625,0.71484375,0.27734375,0.03125,0.04296875,0.05859375,0.03125,0.4375,0.29296875,0.44140625,0.01171875,0.046875,0.109375
40,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,4300,0.2,6.62,25.5,825,197.4546,25.30859375,29.7421875,1.6171875,6.92578125,2.96484375,1.28515625,4.64453125,1.58203125,7.1484375,1.35546875,0.90625,0.9609375,0.36328125,0.5,0.4609375,0.32421875,2.66015625,0.29296875,0.14453125,0.29296875,0.125,0.453125,1.66796875,0.0078125,0.00390625,0.2890625,0.69140625,0.015625,0.49609375,1.03515625,0.328125,0.0234375,0.37890625,0.14453125,0.09765625,0.57421875,0.640625,0.08203125,0.87109375,0.5,0.30078125,0.01953125,0.03515625,0.10546875,0.05078125,0.4765625,0.296875,0.60546875,0.0078125,0.046875,0.1484375
41,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,4300,0.4,6.57,26.3,823,197.4546,27.4140625,31.2265625,1.58984375,6.03515625,2.2421875,1.1484375,4.21875,1.25390625,6.83203125,1.25,0.91015625,0.94140625,0.296875,0.515625,0.359375,0.2421875,2.53515625,0.20703125,0.125,0.27734375,0.078125,0.5234375,1.71875,0.02734375,0.01953125,0.2421875,0.6484375,0.01171875,0.3359375,1.0859375,0.29296875,0.015625,0.4609375,0.12109375,0.109375,0.64453125,0.60546875,0.0703125,0.6875,0.33984375,0.3515625,0.0078125,0.0625,0.078125,0.0703125,0.578125,0.33203125,0.62890625,0.01171875,0.05078125,0.16796875
42,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,7002,0.3,6.45,27,961,197.4546,28.19921875,27.390625,1.0625,8.6796875,2.61328125,1.67578125,3.24609375,0.296875,5.66796875,1.9609375,0.47265625,1.125,0.6796875,0.34765625,0.5703125,0.11328125,2.54296875,0.20703125,0.10546875,0.234375,0.10546875,0.8125,3.46484375,0.01953125,0,0.21484375,0.5234375,0.0078125,0.28515625,2.0234375,0.3515625,0.01953125,1.48046875,0.13671875,0,0.3125,0.0625,0.0390625,0.51953125,0.73046875,0.93359375,0.04296875,0.01953125,0.0703125,0.0859375,0.12109375,0.1328125,0.17578125,0.01171875,0.03125,0.07421875
43,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,7002,3.6,6.52,27.2,918,197.4546,26.83984375,28.22265625,1.12109375,9.28125,2.6484375,1.46484375,3.2578125,0.41796875,5.09375,1.96484375,0.515625,0.94140625,0.44140625,0.3046875,0.60546875,0.125,2.578125,0.3515625,0.1328125,0.2265625,0.08984375,0.796875,3.30078125,0,0.00390625,0.20703125,0.52734375,0,0.31640625,3.11328125,0.29296875,0.0078125,1.23046875,0.1328125,0.0078125,0.21875,0.078125,0.01171875,0.4765625,0.91796875,1.10546875,0.0390625,0.01953125,0.015625,0.0546875,0.09765625,0.1015625,0.1796875,0.02734375,0.01171875,0.08203125
44,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,7002,4.3,6.55,27.1,949,197.4546,28.06640625,29.60546875,1.08984375,8.5703125,2.375,1.12890625,3.00390625,0.2890625,6.21484375,1.62890625,0.421875,1,0.60546875,0.23046875,0.5703125,0.12109375,1.8515625,0.24609375,0.1171875,0.32421875,0.11328125,1.01953125,2.640625,0.0078125,0,0.21875,0.45703125,0.0078125,0.30078125,2.94140625,0.26171875,0.0078125,0.8515625,0.140625,0.0234375,0.2421875,0.08984375,0.015625,0.57421875,0.75390625,1.140625,0.02734375,0.0234375,0.06640625,0.07421875,0.11328125,0.10546875,0.21484375,0.0234375,0.01171875,0.0703125
45,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,9.77,7.5,15.25832,280,116.8853,222.9448,0.942857143,550,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.05,9886,1.8,6.44,27.8,952,197.4546,20.16015625,28.69140625,2.953125,7.8671875,3.0078125,0.75,6.37109375,3.7734375,3.671875,1.37890625,0.609375,0.83203125,0.6640625,0.3203125,1.046875,0.80078125,2.3203125,0.5078125,0.421875,0.0625,0.06640625,0.33203125,1.81640625,0.01171875,0.0078125,0.29296875,0.33984375,0.08984375,0.5703125,2.2421875,0.796875,0.03515625,1.85546875,0.18359375,0.078125,0.640625,0.484375,0.07421875,0.57421875,0.49609375,1.4453125,0.08203125,0.01953125,0.05859375,0.0625,0.1484375,0.1953125,0.66796875,0.0390625,0,0.08203125
46,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,9.77,7.5,15.25832,280,116.8853,222.9448,0.942857143,550,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.05,9886,3.1,6.53,28,949,197.4546,17.5703125,32.0859375,3.46875,7.921875,2.79296875,0.6171875,5.52734375,2.9375,4.66015625,1.2265625,0.80859375,1.0546875,0.72265625,0.40234375,1.21875,1.09375,1.3828125,0.4921875,0.4765625,0.05859375,0.171875,0.49609375,1.50390625,0.01171875,0.00390625,0.29296875,0.3359375,0.15234375,0.48046875,2.15234375,0.84765625,0.05078125,1.16796875,0.1328125,0.0546875,0.7109375,0.7109375,0.06640625,0.64453125,0.42578125,1.51953125,0.05859375,0.0390625,0.0625,0.05078125,0.1875,0.2421875,0.75,0.04296875,0.0078125,0.10546875
47,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,9.77,7.5,15.25832,280,116.8853,222.9448,0.942857143,550,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.05,9886,0.3,6.58,28,921,197.4546,17.49609375,32.79296875,3.98046875,7.00390625,2.80859375,0.4765625,5.1484375,4.58203125,4.703125,1.12109375,0.8046875,1.17578125,0.6640625,0.33203125,1.04296875,1.19921875,1.33984375,0.375,0.58984375,0.09375,0.15625,0.41015625,1.19921875,0,0.00390625,0.19921875,0.390625,0.1953125,0.3359375,2.3203125,0.87890625,0.03125,0.9453125,0.1484375,0.04296875,0.70703125,0.5234375,0.109375,0.61328125,0.390625,1.10546875,0.08203125,0.0234375,0.0390625,0.06640625,0.12109375,0.23046875,0.8828125,0.05078125,0.0078125,0.05859375
48,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,490000,15.3,8.38,5,175,102.9411765,222.9448,0.948571429,450,264.7058824,444.2271,0.934444444,26,26,2.475801,35,35,10.25516,3.42,3.42,1.360973,0,3200,2.09,7.17,26.3,870,197.4546,25.2109375,27.09765625,2.10546875,10.66015625,3.421875,1.34375,5.39453125,0.0703125,3.80859375,2.75390625,0.94921875,0.6171875,0.875,0.390625,0.63671875,0.0390625,2.05078125,0.31640625,0.0859375,0.1328125,0.125,0.4453125,2.99609375,0.01953125,0.04296875,0.16796875,0.37109375,0,0.2734375,1.5078125,0.37890625,0.03125,1.2734375,0.17578125,0.0390625,1.2265625,0.0703125,0.05078125,0.5234375,0.64453125,0.48046875,0.03125,0.03125,0.04296875,0.09765625,0.22265625,0.421875,0.109375,0.05859375,0.04296875,0.13671875
49,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,490000,15.3,8.38,5,175,102.9411765,222.9448,0.948571429,450,264.7058824,444.2271,0.934444444,26,26,2.475801,35,35,10.25516,3.42,3.42,1.360973,0,3200,6.36,7.05,26.1,849,197.4546,25.05859375,28.6328125,1.91015625,10.5390625,3.77734375,0.9296875,4.94140625,0.0703125,3.87890625,2.375,0.9140625,0.625,0.77734375,0.48046875,0.62109375,0.06640625,1.71484375,0.2578125,0.09375,0.1875,0.07421875,0.49609375,2.46875,0.03125,0.02734375,0.14453125,0.42578125,0,0.1796875,1.88671875,0.52734375,0.03125,1.41015625,0.09765625,0.06640625,1.1953125,0.0625,0.05078125,0.546875,0.78515625,0.5,0.03515625,0.0078125,0.03515625,0.1015625,0.1796875,0.44921875,0.1328125,0.05078125,0.0234375,0.125
50,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,490000,15.3,8.38,5,175,102.9411765,222.9448,0.948571429,450,264.7058824,444.2271,0.934444444,26,26,2.475801,35,35,10.25516,3.42,3.42,1.360973,0,3200,6.28,7.17,26.2,846,197.4546,25.2890625,30.3671875,1.90234375,9.40234375,3.6015625,1.109375,4.8984375,0.05078125,4.54296875,2.42578125,0.77734375,0.7109375,0.69921875,0.4296875,0.52734375,0.1015625,1.36328125,0.1953125,0.08203125,0.125,0.078125,0.4609375,2.28515625,0,0.01953125,0.1484375,0.5078125,0.0078125,0.171875,1.51953125,0.453125,0.02734375,0.62890625,0.1015625,0.0390625,1.72265625,0.1171875,0.03515625,0.5546875,0.796875,0.51953125,0.046875,0.0078125,0.03125,0.10546875,0.25390625,0.41796875,0.203125,0.03125,0.03125,0.07421875
51,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,690000,13.67,6.67,12.3,220,110,222.9448,0.977272727,450,225,444.2271,0.933333333,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,2780,0.77,7.08,26.9,1172,197.4546,22.5546875,33.94921875,3,6.3828125,2.0546875,1.16796875,4.4921875,2.40625,5.0078125,0.93359375,0.59375,1.03125,0.734375,0.55859375,0.14453125,0.50390625,1.09375,0.3046875,0.9296875,0.3984375,0.140625,1.55078125,1.80078125,0.015625,0.03125,0.12109375,0.53125,0.0078125,0.26171875,0.2734375,0.375,0.0625,0.6484375,0.05078125,0.18359375,1.71875,0.1875,0.34375,0.3203125,0.73046875,1.37109375,0,0.03125,0.1171875,0.00390625,0.0625,0.265625,0.07421875,0.01171875,0.02734375,0.4375
52,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,690000,13.67,6.67,12.3,220,110,222.9448,0.977272727,450,225,444.2271,0.933333333,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,2780,1.24,6.99,27.3,1141,197.4546,24.58984375,29.75390625,2.03125,7.046875,3.51953125,1.109375,4.875,2.3984375,5.5390625,1.19140625,0.5859375,0.74609375,0.46484375,0.45703125,0.2421875,0.25,1.59375,0.3359375,0.5234375,0.36328125,0.0859375,1.1875,2.7734375,0.015625,0.015625,0.14453125,0.4765625,0.0078125,0.28515625,0.24609375,0.34375,0.05078125,0.9765625,0.078125,0.0625,1.671875,0.17578125,0.0859375,0.42578125,1.26953125,1.0390625,0.00390625,0.0078125,0.078125,0.01953125,0.0546875,0.33203125,0.04296875,0.015625,0.0234375,0.38671875
53,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,690000,13.67,6.67,12.3,220,110,222.9448,0.977272727,450,225,444.2271,0.933333333,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,2780,3.92,7.04,26.7,1111,197.4546,24.8359375,30.34375,2.69921875,7.61328125,2.953125,1.16015625,4.11328125,1.73828125,4.56640625,1.08984375,0.52734375,0.84765625,0.57421875,0.421875,0.1640625,0.421875,1.8203125,0.3515625,0.6328125,0.4375,0.09765625,1.4609375,2.3046875,0.01953125,0.01171875,0.125,0.6484375,0.0078125,0.23046875,0.2421875,0.32421875,0.02734375,0.64453125,0.04296875,0.11328125,2.07421875,0.22265625,0.1171875,0.37890625,0.72265625,1.78125,0.00390625,0.01953125,0.1171875,0.03515625,0.1015625,0.28125,0.078125,0,0.03125,0.421875
54,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,26700,12,6,10,202.1696,116.8853,222.9448,6.525154,200,100,444.2271,0.875,25,20.95466,0.996,45,40.2121,0.444444444,3,5.0762,0.733333333,0.1050774,3368,0.63,6.89,27,885,197.4546,28.08984375,16.48828125,2.265625,7.578125,3.0859375,0.87890625,3.51171875,0.4609375,4.984375,1.640625,0.61328125,0.71875,3.00390625,0.33984375,1.34375,0.3671875,0.875,0.16796875,0.92578125,0.359375,0.12890625,1.47265625,1.71484375,0.01171875,0.04296875,0.265625,0.61328125,0.1953125,0.9609375,6.1875,0.6171875,0.00390625,0.61328125,0.1484375,0.21875,1.1953125,0.39453125,0.05078125,4.125,1.2890625,0.828125,0.0390625,0.05078125,0.03515625,0.203125,0.12890625,0.3984375,0.19140625,0.03125,0.03125,0.11328125
55,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,26700,12,6,10,202.1696,116.8853,222.9448,6.525154,200,100,444.2271,0.875,25,20.95466,0.996,45,40.2121,0.444444444,3,5.0762,0.733333333,0.1050774,3368,0.45,6.93,27,881,197.4546,26.9609375,16.5625,2.6328125,7.48046875,3.40234375,0.83984375,3.90625,0.43359375,5.09375,1.87109375,0.65234375,0.84765625,2.796875,0.29296875,1.2109375,0.4375,0.7734375,0.16015625,0.87109375,0.41015625,0.16015625,1.23046875,2.06640625,0.0234375,0.0234375,0.22265625,0.48828125,0.17578125,1.09375,6.22265625,0.70703125,0,0.7421875,0.13671875,0.33984375,0.98046875,0.453125,0.078125,3.9140625,1.296875,0.5546875,0.046875,0.046875,0.0234375,0.2890625,0.0859375,0.484375,0.27734375,0.0390625,0.0078125,0.15234375
56,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,190,23390,21639100,26700,12,6,10,202.1696,116.8853,222.9448,6.525154,200,100,444.2271,0.875,25,20.95466,0.996,45,40.2121,0.444444444,3,5.0762,0.733333333,0.1050774,3368,3.42,6.98,27.1,877,197.4546,28.76171875,16.37890625,2.27734375,7.1484375,3.421875,0.9921875,3.625,0.39453125,5.015625,1.6328125,0.6875,0.6875,2.70703125,0.359375,1.35546875,0.390625,0.84375,0.15625,0.80078125,0.3125,0.13671875,1.4296875,1.7421875,0.0234375,0.015625,0.29296875,0.46484375,0.24609375,0.953125,5.640625,0.69140625,0.015625,0.90625,0.1953125,0.203125,1.26171875,0.375,0.0546875,4.16015625,1.12109375,0.80078125,0.0546875,0.07421875,0.02734375,0.23046875,0.11328125,0.34375,0.27734375,0.0234375,0.03125,0.14453125
